status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,BA,British Airways,,,2025-09-23T17:38:00.000,LHR,2025-09-23T18:20:00.000,2025-09-23T13:14:00.000,9.0,2025-09-23T13:05:00.000,BOM,2025-09-23T13:05:00.000,BA198
active,departure,QP,Akasa Air,,,2025-09-23T14:59:00.000,IXD,2025-09-23T15:20:00.000,2025-09-23T13:17:00.000,13.0,2025-09-23T13:05:00.000,BOM,2025-09-23T13:05:00.000,QP1546
active,departure,QP,Akasa Air,,,2025-09-23T15:18:00.000,VNS,2025-09-23T15:35:00.000,2025-09-23T13:25:00.000,16.0,2025-09-23T13:10:00.000,BOM,2025-09-23T13:10:00.000,QP1498
active,departure,VS,Virgin Atlantic,,,2025-09-23T14:57:00.000,KNU,2025-09-23T15:20:00.000,2025-09-23T13:12:00.000,2.0,2025-09-23T13:10:00.000,BOM,2025-09-23T13:10:00.000,VS8582
active,departure,6E,IndiGo,,,2025-09-23T14:57:00.000,KNU,2025-09-23T15:20:00.000,2025-09-23T13:12:00.000,2.0,2025-09-23T13:10:00.000,BOM,2025-09-23T13:10:00.000,6E824
active,departure,AI,Air India,,,2025-09-23T14:38:00.000,IXE,2025-09-23T15:00:00.000,2025-09-23T13:22:00.000,8.0,2025-09-23T13:07:00.000,BOM,2025-09-23T13:15:00.000,AI9669
active,departure,IX,Air India Express,,,2025-09-23T14:38:00.000,IXE,2025-09-23T15:00:00.000,2025-09-23T13:22:00.000,8.0,2025-09-23T13:07:00.000,BOM,2025-09-23T13:15:00.000,IX2546
active,departure,AI,Air India,,12.0,2025-09-23T16:12:00.000,CCU,2025-09-23T16:00:00.000,2025-09-23T13:52:00.000,28.0,2025-09-23T13:36:00.000,BOM,2025-09-23T13:25:00.000,AI179
active,departure,VS,Virgin Atlantic,,,2025-09-23T15:44:00.000,IXR,2025-09-23T16:00:00.000,2025-09-23T13:44:00.000,19.0,2025-09-23T13:25:00.000,BOM,2025-09-23T13:25:00.000,VS8576
active,departure,6E,IndiGo,,,2025-09-23T15:44:00.000,IXR,2025-09-23T16:00:00.000,2025-09-23T13:44:00.000,19.0,2025-09-23T13:25:00.000,BOM,2025-09-23T13:25:00.000,6E831
active,departure,AI,Air India,,,2025-09-23T14:40:00.000,SHJ,2025-09-23T15:05:00.000,2025-09-23T13:42:00.000,13.0,2025-09-23T13:29:00.000,BOM,2025-09-23T13:30:00.000,AI9171
active,departure,IX,Air India Express,,,2025-09-23T14:40:00.000,SHJ,2025-09-23T15:05:00.000,2025-09-23T13:42:00.000,13.0,2025-09-23T13:29:00.000,BOM,2025-09-23T13:30:00.000,IX251
active,departure,ET,Ethiopian Airlines,,19.0,2025-09-23T15:48:00.000,MAA,2025-09-23T15:30:00.000,2025-09-23T14:10:00.000,36.0,2025-09-23T13:48:00.000,BOM,2025-09-23T13:35:00.000,ET4406
active,departure,AI,Air India,,19.0,2025-09-23T15:48:00.000,MAA,2025-09-23T15:30:00.000,2025-09-23T14:10:00.000,36.0,2025-09-23T13:48:00.000,BOM,2025-09-23T13:35:00.000,AI2615
active,departure,QP,Akasa Air,,,2025-09-23T17:05:00.000,GAU,2025-09-23T17:05:00.000,2025-09-23T14:08:00.000,34.0,2025-09-23T13:35:00.000,BOM,2025-09-23T13:35:00.000,QP1503
active,departure,JL,Jet Linx Aviation,,,2025-09-23T15:20:00.000,DEL,2025-09-23T16:00:00.000,2025-09-23T13:38:00.000,4.0,2025-09-23T13:23:00.000,BOM,2025-09-23T13:35:00.000,JL9264
active,departure,QF,Qantas,,,2025-09-23T15:20:00.000,DEL,2025-09-23T16:00:00.000,2025-09-23T13:38:00.000,4.0,2025-09-23T13:23:00.000,BOM,2025-09-23T13:35:00.000,QF5274
active,departure,VS,Virgin Atlantic,,,2025-09-23T15:20:00.000,DEL,2025-09-23T16:00:00.000,2025-09-23T13:38:00.000,4.0,2025-09-23T13:23:00.000,BOM,2025-09-23T13:35:00.000,VS8524
active,departure,6E,IndiGo,,,2025-09-23T15:20:00.000,DEL,2025-09-23T16:00:00.000,2025-09-23T13:38:00.000,4.0,2025-09-23T13:23:00.000,BOM,2025-09-23T13:35:00.000,6E615
active,departure,6E,IndiGo,,,2025-09-23T15:14:00.000,IXM,2025-09-23T15:55:00.000,2025-09-23T13:33:00.000,,2025-09-23T13:35:00.000,BOM,2025-09-23T13:40:00.000,6E2528
active,departure,VS,Virgin Atlantic,,,2025-09-23T15:57:00.000,SXR,2025-09-23T16:40:00.000,2025-09-23T13:45:00.000,1.0,2025-09-23T13:40:00.000,BOM,2025-09-23T13:45:00.000,VS8606
active,departure,6E,IndiGo,,,2025-09-23T15:57:00.000,SXR,2025-09-23T16:40:00.000,2025-09-23T13:45:00.000,1.0,2025-09-23T13:40:00.000,BOM,2025-09-23T13:45:00.000,6E214
active,departure,VS,Virgin Atlantic,,,2025-09-23T15:52:00.000,MAA,2025-09-23T16:00:00.000,2025-09-23T14:16:00.000,31.0,2025-09-23T14:05:00.000,BOM,2025-09-23T13:45:00.000,VS8596
active,departure,6E,IndiGo,,,2025-09-23T15:52:00.000,MAA,2025-09-23T16:00:00.000,2025-09-23T14:16:00.000,31.0,2025-09-23T14:05:00.000,BOM,2025-09-23T13:45:00.000,6E5337
active,departure,SQ,Singapore Airlines,,,2025-09-23T16:22:00.000,CCU,2025-09-23T16:50:00.000,2025-09-23T13:58:00.000,9.0,2025-09-23T13:41:00.000,BOM,2025-09-23T13:50:00.000,SQ4853
active,departure,AI,Air India,,,2025-09-23T16:22:00.000,CCU,2025-09-23T16:50:00.000,2025-09-23T13:58:00.000,9.0,2025-09-23T13:41:00.000,BOM,2025-09-23T13:50:00.000,AI2773
active,departure,EY,Etihad Airways,,,2025-09-23T14:59:00.000,AUH,2025-09-23T15:35:00.000,2025-09-23T13:59:00.000,10.0,2025-09-23T14:15:00.000,BOM,2025-09-23T13:50:00.000,EY203
unknown,departure,9I,Alliance Air,,,,DIU,2025-09-23T14:55:00.000,,,,BOM,2025-09-23T13:50:00.000,9I623
active,departure,JL,Jet Linx Aviation,,,2025-09-23T15:23:00.000,BLR,2025-09-23T16:05:00.000,2025-09-23T14:05:00.000,5.0,2025-09-23T13:42:00.000,BOM,2025-09-23T14:00:00.000,JL9762
active,departure,QF,Qantas,,,2025-09-23T15:23:00.000,BLR,2025-09-23T16:05:00.000,2025-09-23T14:05:00.000,5.0,2025-09-23T13:42:00.000,BOM,2025-09-23T14:00:00.000,QF5052
active,departure,VS,Virgin Atlantic,,,2025-09-23T15:23:00.000,BLR,2025-09-23T16:05:00.000,2025-09-23T14:05:00.000,5.0,2025-09-23T13:42:00.000,BOM,2025-09-23T14:00:00.000,VS8503
active,departure,6E,IndiGo,,,2025-09-23T15:23:00.000,BLR,2025-09-23T16:05:00.000,2025-09-23T14:05:00.000,5.0,2025-09-23T13:42:00.000,BOM,2025-09-23T14:00:00.000,6E5382
