status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:44:00,IXR,2025-09-23 16:00:00,2025-09-23 13:44:00,19.0,2025-09-23 13:25:00,BOM,2025-09-23 13:25:00,VS8576
active,departure,6E,IndiGo,,,2025-09-23 15:44:00,IXR,2025-09-23 16:00:00,2025-09-23 13:44:00,19.0,2025-09-23 13:25:00,BOM,2025-09-23 13:25:00,6E831
active,departure,AI,Air India,,,2025-09-23 14:40:00,SHJ,2025-09-23 15:05:00,2025-09-23 13:42:00,13.0,2025-09-23 13:29:00,BOM,2025-09-23 13:30:00,AI9171
active,departure,IX,Air India Express,,,2025-09-23 14:40:00,SHJ,2025-09-23 15:05:00,2025-09-23 13:42:00,13.0,2025-09-23 13:29:00,BOM,2025-09-23 13:30:00,IX251
active,departure,ET,Ethiopian Airlines,,19.0,2025-09-23 15:48:00,MAA,2025-09-23 15:30:00,2025-09-23 14:10:00,36.0,2025-09-23 13:48:00,BOM,2025-09-23 13:35:00,ET4406
active,departure,AI,Air India,,19.0,2025-09-23 15:48:00,MAA,2025-09-23 15:30:00,2025-09-23 14:10:00,36.0,2025-09-23 13:48:00,BOM,2025-09-23 13:35:00,AI2615
active,departure,QP,Akasa Air,,,2025-09-23 17:05:00,GAU,2025-09-23 17:05:00,2025-09-23 14:08:00,34.0,2025-09-23 13:35:00,BOM,2025-09-23 13:35:00,QP1503
active,departure,JL,Jet Linx Aviation,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,JL9264
active,departure,QF,Qantas,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,QF5274
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,VS8524
active,departure,6E,IndiGo,,,2025-09-23 15:20:00,DEL,2025-09-23 16:00:00,2025-09-23 13:38:00,4.0,2025-09-23 13:23:00,BOM,2025-09-23 13:35:00,6E615
active,departure,6E,IndiGo,,,2025-09-23 15:14:00,IXM,2025-09-23 15:55:00,2025-09-23 13:33:00,,2025-09-23 13:35:00,BOM,2025-09-23 13:40:00,6E2528
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:57:00,SXR,2025-09-23 16:40:00,2025-09-23 13:45:00,1.0,2025-09-23 13:40:00,BOM,2025-09-23 13:45:00,VS8606
active,departure,6E,IndiGo,,,2025-09-23 15:57:00,SXR,2025-09-23 16:40:00,2025-09-23 13:45:00,1.0,2025-09-23 13:40:00,BOM,2025-09-23 13:45:00,6E214
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:52:00,MAA,2025-09-23 16:00:00,2025-09-23 14:16:00,31.0,2025-09-23 14:05:00,BOM,2025-09-23 13:45:00,VS8596
active,departure,6E,IndiGo,,,2025-09-23 15:52:00,MAA,2025-09-23 16:00:00,2025-09-23 14:16:00,31.0,2025-09-23 14:05:00,BOM,2025-09-23 13:45:00,6E5337
active,departure,SQ,Singapore Airlines,,,2025-09-23 16:22:00,CCU,2025-09-23 16:50:00,2025-09-23 13:58:00,9.0,2025-09-23 13:41:00,BOM,2025-09-23 13:50:00,SQ4853
active,departure,AI,Air India,,,2025-09-23 16:22:00,CCU,2025-09-23 16:50:00,2025-09-23 13:58:00,9.0,2025-09-23 13:41:00,BOM,2025-09-23 13:50:00,AI2773
active,departure,EY,Etihad Airways,,,2025-09-23 14:59:00,AUH,2025-09-23 15:35:00,2025-09-23 13:59:00,10.0,2025-09-23 14:15:00,BOM,2025-09-23 13:50:00,EY203
unknown,departure,9I,Alliance Air,,,,DIU,2025-09-23 14:55:00,,,,BOM,2025-09-23 13:50:00,9I623
active,departure,JL,Jet Linx Aviation,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,JL9762
active,departure,QF,Qantas,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,QF5052
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,VS8503
active,departure,6E,IndiGo,,,2025-09-23 15:23:00,BLR,2025-09-23 16:05:00,2025-09-23 14:05:00,5.0,2025-09-23 13:42:00,BOM,2025-09-23 14:00:00,6E5382
active,departure,BA,British Airways,,,2025-09-23 15:04:00,GOI,2025-09-23 15:25:00,2025-09-23 14:19:00,10.0,2025-09-23 14:00:00,BOM,2025-09-23 14:10:00,BA8014
active,departure,VS,Virgin Atlantic,,,2025-09-23 15:04:00,GOI,2025-09-23 15:25:00,2025-09-23 14:19:00,10.0,2025-09-23 14:00:00,BOM,2025-09-23 14:10:00,VS8545
active,departure,6E,IndiGo,,,2025-09-23 15:04:00,GOI,2025-09-23 15:25:00,2025-09-23 14:19:00,10.0,2025-09-23 14:00:00,BOM,2025-09-23 14:10:00,6E5141
active,departure,AI,Air India,,,2025-09-23 15:35:00,UDR,2025-09-23 16:00:00,2025-09-23 14:34:00,9.0,2025-09-23 14:22:00,BOM,2025-09-23 14:25:00,AI2595
active,departure,QP,Akasa Air,,,2025-09-23 16:35:00,LKO,2025-09-23 16:50:00,2025-09-23 14:48:00,13.0,2025-09-23 14:35:00,BOM,2025-09-23 14:35:00,QP1451
